"id","adres","locatie","postcode","zaaknaam","einddatum","begindatum","zaaknummer","zaak_categorie","status_vergunning","zaak_specificatie","o_tijden_terras_vr_za_tot","o_tijden_terras_vr_za_van","o_tijden_terras_zo_do_tot","o_tijden_terras_zo_do_van","openingstijden_vr_za_tot","openingstijden_vr_za_van","openingstijden_zo_do_tot","openingstijden_zo_do_van","status_tijdelijk_terras","tijdelijk_terras_details","publ_besluit_tijdelijk_terras","toestemming_tijdelijk_terras","terrasgeometrie"
"0","Oudezijds Achterburgwal 39A","SRID=4326;POINT(4.89950415415049 52.373688354512)","1012DA","Old Sailor","2022-12-01","2019-12-01","11610","Café","Verleend","Café","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Geweigerd","","01-07-2020","01-07-2020","SRID=4326;MULTIPOLYGON(((4.89953058919125 52.3737427869739,4.89953074523795 52.373742930857,4.89952462810547 52.3737454160192,4.89951116336391 52.3737330008282,4.89950692456927 52.3737290924378,4.89951304170051 52.3737266072765,4.89953058919125 52.3737427869739)),((4.89950898125797 52.3737228633356,4.89950404015674 52.3737248707198,4.89950286412704 52.3737253484966,4.89948516060683 52.3737090249118,4.8994912777365 52.3737065397516,4.89950898125797 52.3737228633356)))"
"1","Rembrandtplein 22-H","SRID=4326;POINT(4.89628909307282 52.3656402022673)","1017CV","Prime","2021-07-01","2018-07-01","14214","Café","Verleend","Eetcafé","2:00","9:00","1:00","9:00","5:00","9:00","3:00","9:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_14695_Rembrandtplein 22-H-1966114_1.DOCX.pdf","23-06-2020","","SRID=4326;MULTIPOLYGON(((4.89628887492411 52.3657008812046,4.89630164727858 52.3656657852069,4.89623028268864 52.3656560528383,4.89621751028069 52.3656911488284,4.89621016754433 52.3657113251547,4.89628153221851 52.3657210575353,4.89628887492411 52.3657008812046)))"
"2","Prinsengracht 188-H","SRID=4326;POINT(4.882675967099 52.3736628762474)","1016HC","Amigo restaurant","2024-03-01","2019-03-01","13203","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_13664_Prinsengracht 188-H-2079073_2.DOCX.pdf","21-07-2020","21-07-2020","SRID=4326;MULTIPOLYGON(((4.882721578668 52.3736830480317,4.8827142411288 52.3736832062752,4.88271302077607 52.3736620092916,4.88272035831177 52.3736618510482,4.882721578668 52.3736830480317)))"
"3","Kloveniersburgwal 2-H","SRID=4326;POINT(4.8993009764928 52.3721326713526)","1012CT","Temple Bar","2021-01-01","2019-01-01","15320","Café","Verleend","Café","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_15874_Kloveniersburgwal 2-H-1956038_1.DOCX.pdf","16-06-2020","16-06-2020","SRID=4326;MULTIPOLYGON(((4.89950546665514 52.3720577296299,4.89954818115631 52.37211067326,4.89950078384011 52.3721249987626,4.89945806938174 52.3720720551157,4.89950546665514 52.3720577296299)),((4.89935891919467 52.3721068415228,4.89938509179078 52.3720986885106,4.8994137309166 52.3721331300399,4.89938755830542 52.3721412830584,4.89935891919467 52.3721068415228)))"
"4","Amstel 31","SRID=4326;POINT(4.90177073152293 52.3664986198652)","1011PT","Hooischip","2021-03-01","2018-03-01","1733","Café","Verleend","Café","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_1843_Amstel 31-2039976_2.DOCX.pdf","17-07-2020","17-07-2020","SRID=4326;MULTIPOLYGON(((4.90184504235042 52.3665526749854,4.90182049303473 52.3665833430236,4.90177303194219 52.3665691067781,4.90177303194219 52.3665691067781,4.9017846605814 52.366554579818,4.90178466058139 52.366554579818,4.90172295906164 52.3665360720286,4.90172295906164 52.3665360720286,4.90173587811821 52.3665199304685,4.90173587811821 52.3665199304685,4.90184504235042 52.3665526749854)),((4.9017286589167 52.3665074351455,4.90170104644492 52.3665013206074,4.90171902618817 52.3664708956239,4.901746638644 52.3664770101579,4.9017286589167 52.3665074351455)))"
"5","Hartenstraat 17-H","SRID=4326;POINT(4.88604010603545 52.3722391338351)","1016BZ","Kagetsu","2021-03-01","2016-03-01","7875","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_8025_Hartenstraat 17-H-1968417_1.DOCX.pdf","24-06-2020","24-06-2020","SRID=4326;MULTIPOLYGON(((4.88603281602015 52.3722774071176,4.8860034857994 52.372278311864,4.88600274670556 52.3722693359051,4.88603207692042 52.3722684311587,4.88603281602015 52.3722774071176)))"
"6","Gustav Mahlerplein 16","SRID=4326;POINT(4.87302034976389 52.3375541092774)","1082MA","Gustavino","2024-10-01","2019-01-30","8236","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_8429_Gustav Mahlerplein 16-2051824_1.DOCX.pdf","14-07-2020","14-07-2020","SRID=4326;MULTIPOLYGON(((4.87298517222869 52.3367643552574,4.87298548256234 52.3368161794232,4.87275513420493 52.3368155532357,4.87275513418797 52.3368155532356,4.87275548861763 52.3367634648871,4.87298583698272 52.336764052784,4.87298583491686 52.3367643566212,4.87298517222869 52.3367643552574)))"
"7","Oudezijds Achterburgwal 22","SRID=4326;POINT(4.90011032975182 52.3746525146119)","1012DM","Mata Hari","2022-10-01","2017-10-01","10205","Café","Verleend","Eetcafé","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_10613_Oudezijds Achterburgwal 22-2036803_1.DOCX.pdf","22-07-2020","22-07-2020","SRID=4326;MULTIPOLYGON(((4.90014607309098 52.374574131611,4.90017174538457 52.3745631418963,4.90018371856668 52.3745727190343,4.90023472327967 52.3746165181621,4.90031415301282 52.37469367258,4.90028428640728 52.3747051230427,4.90014908275698 52.3745769840268,4.90014607309098 52.374574131611)))"
"8","Nes 67","SRID=4326;POINT(4.89350915026106 52.3700595302549)","1012KD","De Bierfabriek","2024-06-01","2019-06-01","13528","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_14019_Nes 67-2037221_1.DOCX.pdf","14-07-2020","14-07-2020","SRID=4326;MULTIPOLYGON(((4.8935686768623 52.3701612625086,4.89373587750463 52.3701564356569,4.89373739936949 52.3701761858891,4.89357019865304 52.3701810127428,4.8935686768623 52.3701612625086)),((4.89350300610345 52.3701631582679,4.89354700627959 52.3701618880911,4.89354852806072 52.3701816383255,4.89350452786508 52.3701829085029,4.89350300610345 52.3701631582679)))"
"9","Van der Pekstraat 88-H","SRID=4326;POINT(4.91039215590403 52.3894698069272)","1031EG","Royalvis & Traiteur","2022-07-01","2019-05-01","9949","Alcoholvrij","Verleend","Lunchroom","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_10326_Van der Pekstraat 88-H-1965278_ver_10326_Royalvis toestemming uitbreiding terras.pdf","23-06-2020","","SRID=4326;MULTIPOLYGON(((4.91036759895258 52.3894829150682,4.91041848773688 52.3895526745588,4.91039836667659 52.3895581689515,4.91034747791764 52.3894884094525,4.91036759895258 52.3894829150682)))"
"10","Overtoom 176-H","SRID=4326;POINT(4.87239754174105 52.3621954740864)","1054HR","Dionysos Taverna","2021-03-01","2016-03-01","178","Restaurant","Verleend","Restaurant","1:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_280_Overtoom 176-H-1982002_1.DOCX.pdf","01-07-2020","01-07-2020",""
"11","Thorbeckeplein 8-H","SRID=4326;POINT(4.89551178534998 52.3655650801878)","1017CS","Coco's Outback","2021-05-01","2016-05-01","3670","Café","Verleend","Café","2:00","9:00","1:00","9:00","5:00","9:00","3:00","9:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_3783_Thorbeckeplein 8-H-1961423_1.DOCX.pdf","19-06-2020","19-06-2020","SRID=4326;MULTIPOLYGON(((4.89566325345095 52.365444525153,4.89575271387733 52.3654470701014,4.89574905750372 52.3654952353592,4.89565959698066 52.365492690408,4.89566325345095 52.365444525153)),((4.8956533438184 52.3655750606234,4.89565857466694 52.3655061569284,4.89574803521702 52.3655087018803,4.8957428045068 52.3655776055794,4.8956533438184 52.3655750606234)),((4.89558048688703 52.3654475264369,4.89564090845646 52.3654492611084,4.89563833614922 52.3654828369658,4.89557791453428 52.3654811022929,4.89558048688703 52.3654475264369)),((4.89563833614922 52.3654828369658,4.89563504166436 52.3655258391997,4.89557462030865 52.3655241045342,4.8955779148518 52.3654811023021,4.89563833614922 52.3654828369658)),((4.8956343067145 52.3655354322902,4.89563176367264 52.3655688740263,4.89557134127879 52.3655671521956,4.89557388436599 52.3655337104607,4.8956343067145 52.3655354322902)))"
"12","Zeedijk 55","SRID=4326;POINT(4.9011194071029 52.3750341330703)","1012AS","Bar Restaurant Maria","2022-11-01","2019-11-01","15622","Restaurant","Verleend","Restaurant","02:00","07:00","01:00","07:00","03:00","07:00","01:00","07:00","Geweigerd","","22-07-2020","22-07-2020",""
"13","Prinsengracht 587","SRID=4326;POINT(4.88288821720731 52.3679027463892)","1016HT","HIHCL Amsterdam","2020-10-01","2015-10-01","10499","Restaurant","Verleend","Restaurant","","","","","3:00","7:00","1:00","7:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_10943_Prinsengracht 587-1969784_1.DOCX.pdf","24-06-2020","24-06-2020",""
"14","Spuistraat 290","SRID=4326;POINT(4.88881221601793 52.3699050644729)","1012VX","Nh City Centre","2025-01-01","2020-01-01","5633","Restaurant","Verleend","Restaurant","","","","","03:00","07:00","01:00","07:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_5773_Spuistraat 294-2078178_1.DOCX.pdf","21-07-2020","21-07-2020",""
"15","Korte Leidsedwarsstraat 82-H","SRID=4326;POINT(4.88522160065954 52.3628077029162)","1017RD","L & B (Café)","2023-11-01","2018-11-01","8715","Café","Verleend","Café","","","","","4:00","9:00","3:00","9:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_8952_Korte Leidsedwarsstraat 82-H-2094584_1.DOCX.pdf","22-07-2020","",""
"16","Ringdijk 23-H","SRID=4326;POINT(4.9269014285227 52.3542409571196)","1097AB","La Vallade B.V.","2020-11-01","2015-02-17","1428","Café","Verleend","Eetcafé","0:00","7:00","23:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_1538_Ringdijk 23-H-1980944_1.DOCX.pdf","01-07-2020","01-07-2020","SRID=4326;MULTIPOLYGON(((4.92684794100941 52.3542466811769,4.92681047357193 52.3542251603145,4.92702637473022 52.3540842318658,4.92706498257208 52.3541064077015,4.92703605145658 52.3541279936723,4.92701480095009 52.3541404308658,4.92698921841091 52.3541544779867,4.92693331329992 52.3541909751698,4.92691823996717 52.3542007939854,4.92684794100941 52.3542466811769)))"
"17","Haarlemmerplein 11-H","SRID=4326;POINT(4.88388017836383 52.3840216536172)","1013HP","Theatercafé Spinoza","2022-10-01","2019-10-01","15493","Café","Verleend","Eetcafé","","","","","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_16042_Haarlemmerplein 7-H-1955545_1.DOCX.pdf","16-06-2020","16-06-2020",""
"18","Ferdinand Bolstraat 158A","SRID=4326;POINT(4.89121500061562 52.3519669266021)","1072LT","Gs Bar B.V.","2024-11-01","2019-06-12","13455","Café","Verleend","Café","1:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_13945_Ferdinand Bolstraat 158H-2042913_1.DOCX.pdf","08-07-2020","08-07-2020","SRID=4326;MULTIPOLYGON(((4.89128184183694 52.3520039838518,4.89128052985393 52.3519752353969,4.89130253679656 52.3519748588078,4.89130384879378 52.3520036072626,4.89128184183694 52.3520039838518)))"
"19","Van der Pekstraat 87-H","SRID=4326;POINT(4.90995013029342 52.3895938539915)","1031CV","Royal Med","2020-06-01","2017-06-01","11300","Restaurant","Verleend","Restaurant","7:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_12241_Van der Pekstraat 87 H-1965451_Royal Med toestemming uitbreiding terras.pdf","23-06-2020","23-06-2020",""
"20","Prinsenstraat 10A","SRID=4326;POINT(4.88719619754939 52.3778073136742)","1015DC","Restaurant Bleu","2024-02-01","2019-02-01","13270","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_13733_Prinsenstraat 10-H-1963295_1.DOCX.pdf","22-06-2020","22-06-2020","SRID=4326;MULTIPOLYGON(((4.88718661692053 52.3777799852897,4.88721573737973 52.377770429623,4.88722392616534 52.3777797759041,4.88719480570178 52.3777893315727,4.88718661692053 52.3777799852897)),((4.88716139200689 52.3777882814686,4.88717433443956 52.3777840345093,4.88718252321895 52.3777933807931,4.88716958078432 52.3777976277533,4.88716139200689 52.3777882814686)))"
"21","Tussen Meer 58A","","1068GC","Artisani","2021-02-06","2018-02-06","14944","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_15489_Tussen Meer 58A-2052115_ver_15489_Tussen Meer 58A-2051947.pdf","14-07-2020","14-07-2020",""
"22","Rembrandtplein 19","SRID=4326;POINT(4.89704368993676 52.3664432187844)","1017CT","Three Sisters Pub","2022-08-01","2019-08-01","10055","Café","Verleend","Eetcafé","2:00","9:00","1:00","9:00","4:00","9:00","3:00","9:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_10442_Rembrandtplein 19-1966944_1.DOCX.pdf","23-06-2020","","SRID=4326;MULTIPOLYGON(((4.8969961903523 52.36637429441,4.89699225254799 52.3664122535058,4.89712168129175 52.3664159334631,4.89711691299956 52.3663777145122,4.89711705966038 52.3663777186671,4.89713995194074 52.3665610608183,4.89717654972136 52.3665593479114,4.89714767215168 52.3663281486339,4.89700177569272 52.366322279927,4.8969961903523 52.36637429441)))"
"23","Lindengracht 342","SRID=4326;POINT(4.88077039386892 52.379802241917)","1015KN","Caramba","2021-02-01","2016-02-01","2605","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_2710_Lindengracht 342-1977442_1.DOCX.pdf","29-06-2020","29-06-2020","SRID=4326;MULTIPOLYGON(((4.88084955082208 52.3797657235483,4.88089678405432 52.3797723661619,4.88089283689794 52.379782876979,4.88084560365512 52.3797762343639,4.88084955082208 52.3797657235483)),((4.88075794701835 52.3797528408498,4.88080374891346 52.3797592822082,4.8807998017359 52.3797697930221,4.88075399983055 52.3797633516621,4.88075794701835 52.3797528408498)),((4.88069674746777 52.3797552999382,4.88070069466804 52.3797447891276,4.88074363392872 52.3797508279219,4.88073968673804 52.3797613387339,4.88069674746777 52.3797552999382)))"
"24","Strawinskylaan 143","SRID=4326;POINT(4.87362342127653 52.3405241408759)","1077XX","Total Package Productions (T.P.P.) B.V.","2020-06-01","2017-01-29","14024","Café","Verleend","Eetcafé","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_14543_Strawinskylaan 143-2043173_2.DOCX.pdf","14-07-2020","14-07-2020",""
"25","Maasstraat 70","SRID=4326;POINT(4.89484153223326 52.3452323486559)","1078HL","Tap Zuid B.V.","2023-11-01","2018-09-04","12607","Restaurant","Verleend","Restaurant","0:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","Verleend","","03-07-2020","03-07-2020","SRID=4326;MULTIPOLYGON(((4.89482970382921 52.3452081382302,4.89483838336109 52.3451847282096,4.89493858865619 52.3451986632981,4.89491553455663 52.3452615370227,4.89486806536558 52.3452549361106,4.89488408374522 52.3452157006064,4.89482970382921 52.3452081382302)))"
"26","Scheepsbouwkade 72","SRID=4326;POINT(4.89512854960963 52.4013682610004)","1033WM","IJver","2022-08-01","2019-08-01","15070","Café","Verleend","Eetcafé","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_15619_Scheepsbouwkade 72-1964980_toestemming uitbreiding terrassen IJver.pdf","22-06-2020","22-06-2020","SRID=4326;MULTIPOLYGON(((4.8949287226994 52.4012854928768,4.89489134773014 52.4012557183221,4.89503425444409 52.4011886052596,4.89507174628503 52.4012183206822,4.8949287226994 52.4012854928768)),((4.89504504198416 52.4013781663572,4.89492255009503 52.401435686414,4.89476885336839 52.4013132448631,4.89489134773014 52.4012557183221,4.89504504198416 52.4013781663572)))"
"27","Gravenstraat 10A","SRID=4326;POINT(4.89262480540603 52.3743159485718)","1012NM","Bar Bistro De Pilserij BV","2022-10-01","2017-10-01","12404","Café","Verleend","Eetcafé","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_12844_Gravenstraat 10A-2114411_1.DOCX.pdf","05-08-2020","05-08-2020","SRID=4326;MULTIPOLYGON(((4.89261639087422 52.3742816798669,4.89261953138949 52.3742710677129,4.89265709954473 52.3742752322631,4.89265395903815 52.3742858444182,4.89261639087422 52.3742816798669)))"
"28","Dijksgracht 6","SRID=4326;POINT(4.91315893270472 52.3766107640193)","1019BS","Mediamatic Eten","2024-01-01","2018-07-01","12721","Restaurant","Verleend","Restaurant","23:00","7:00","23:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_13218_Dijksgracht 6-1956011_1.DOCX.pdf","01-07-2020","01-07-2020","SRID=4326;MULTIPOLYGON(((4.91313429677154 52.3763682826592,4.91312304228959 52.3764084996613,4.91308545530137 52.3764045727565,4.91305744632928 52.3765054142276,4.91300098425827 52.3764995403574,4.91304016283064 52.3763584851815,4.91313429677154 52.3763682826592)))"
"29","Elandsgracht 108-H","SRID=4326;POINT(4.8797281142094 52.3694800627003)","1016VA","Balthazar`s Keuken","2021-04-01","2016-04-01","1932","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_2065_Elandsgracht 108-H-1979861_1979861_1_1.DOCX.pdf","30-06-2020","30-06-2020","SRID=4326;MULTIPOLYGON(((4.87976537469835 52.3694341234122,4.87979901429036 52.3694451705587,4.87978651959393 52.3694594257638,4.87975287999425 52.3694483786139,4.87976537469835 52.3694341234122)))"
"30","Maasstraat 40","SRID=4326;POINT(4.89476119034418 52.3458611483762)","1078HK","Mi Sueno","2025-02-01","2020-02-01","7204","Restaurant","Verleend","Restaurant","00:00","07:00","00:00","07:00","03:00","07:00","01:00","07:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_7371_Maasstraat 40-1979987_1.DOCX.pdf","01-07-2020","01-07-2020",""
"31","Maasstraat 74","SRID=4326;POINT(4.89481566770218 52.3449176743865)","1078HL","Café Goos","","","10699","Café","Nog niet bekend","Eetcafé","00:00","07:00","00:00","07:00","03:00","07:00","01:00","07:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_11146_Maasstraat 74-2042067_1.DOCX.pdf","09-07-2020","08-07-2020","SRID=4326;MULTIPOLYGON(((4.89485581121033 52.3448657443339,4.89488441906505 52.3448697592535,4.89485688563844 52.3449433462086,4.89482827773892 52.3449393312823,4.89485581121033 52.3448657443339)))"
"32","Thorbeckeplein 14-H","SRID=4326;POINT(4.8955279585664 52.3654303336345)","1017CS","Walkabout Shooters","2023-09-01","2018-09-01","9268","Café","Verleend","Eetcafé","2:00","9:00","1:00","9:00","8:00","9:00","4:00","9:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_9555_Thorbeckeplein 14-H-1961457_1.DOCX.pdf","19-06-2020","19-06-2020","SRID=4326;MULTIPOLYGON(((4.89575275326735 52.3654470712219,4.89566329279698 52.3654445262723,4.89566585204567 52.365410077573,4.89575533649984 52.3654122987164,4.89575275326735 52.3654470712219)),((4.89564177993887 52.3654373638728,4.89558115888076 52.3654359587973,4.89558340895226 52.3654080317528,4.89564384766678 52.3654095314572,4.89564177993887 52.3654373638728)))"
"33","Goudsbloemstraat 207-H","SRID=4326;POINT(4.88116281517387 52.380163419298)","1015JN","Mansion Club Amsterdam","2023-02-01","2020-02-01","15942","Café","Verleend","Eetcafé","","","","","04:00","07:00","03:00","07:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver__Goudsbloemstraat 207-H-2057332_1.DOCX.pdf","18-07-2020","17-07-2020",""
"34","Eggertstraat 8","SRID=4326;POINT(4.89226411387291 52.3737392397325)","1012NN","T Nieuwe Kafe","2021-04-01","2016-04-01","1950","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Deels verleend","https://terrasvergunningen.amsterdam.nl/ver_2084_Eggertstraat 8-1958998_1.DOCX.pdf","18-06-2020","18-06-2020","SRID=4326;MULTIPOLYGON(((4.8919880544231 52.3736701965939,4.89194207606169 52.373660831151,4.89196432375673 52.3736199171162,4.89201674448486 52.3736174347385,4.8919880544231 52.3736701965939)),((4.89205910942459 52.3736846751722,4.89209775832578 52.3736135982912,4.89214582500202 52.3736113220454,4.89226044593931 52.3737256718757,4.89205910942459 52.3736846751722)),((4.89204517622838 52.3736818376669,4.89198805449271 52.373670196608,4.89201674448486 52.3736174347385,4.89208171440961 52.3736143580626,4.89204517622838 52.3736818376669)))"
"35","Prinsengracht 124-H","SRID=4326;POINT(4.88401356193202 52.3761401397384)","1015EA","De Prins","2021-01-01","2016-01-01","3158","Café","Verleend","Café","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Geweigerd","","16-06-2020","16-06-2020","SRID=4326;MULTIPOLYGON(((4.88424311302688 52.3761684155466,4.88431972822247 52.3762471955202,4.88427876472649 52.3762614112868,4.88422580280306 52.3762042497648,4.8842182585885 52.3761961109847,4.88421588124707 52.3761933686822,4.88421170120087 52.3761877157511,4.88420779112585 52.3761806735068,4.88424311302688 52.3761684155466)),((4.88405043840322 52.376139148586,4.88407249107138 52.3761319876741,4.8840793738243 52.3761399267425,4.88405732115375 52.3761470876561,4.88405043840322 52.376139148586)),((4.88402703707043 52.3761121557448,4.88404908972894 52.3761049948371,4.884062855221 52.3761208729768,4.8840408025568 52.3761280338873,4.88402703707043 52.3761121557448)))"
"36","Roelof Hartstraat 68-H","SRID=4326;POINT(4.88519543499176 52.3521303230279)","1071VM","De Bakkerswinkel Oud-Zuid","2020-09-01","2015-02-20","10452","Alcoholvrij","Verleend","Lunchroom","","","","","17:00","7:30","17:00","7:30","Geweigerd","","08-07-2020","08-07-2020",""
"37","Sarphatipark 34-H","SRID=4326;POINT(4.89422174816543 52.3534804013194)","1072PB","Scandinavian Embassy B.V.","2022-11-01","2017-10-05","12333","Eethuis","Verleend","Eethuis","","","","","3:00","7:00","1:00","7:00","Verleend","","02-07-2020","02-07-2020",""
"38","Witte de Withstraat 102-H","SRID=4326;POINT(4.85931140551053 52.3688426705071)","1057ZG","Buurman de With BV","2022-06-01","2019-06-01","15138","Restaurant","Verleend","Restaurant","1:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_15690_Witte de Withstraat 102-H-2107328_1.DOCX.pdf","30-07-2020","29-07-2020","SRID=4326;MULTIPOLYGON(((4.85928837522067 52.3688124056098,4.85928132457207 52.3688564332604,4.85917842826869 52.3688502592746,4.85917816718112 52.3688502024652,4.85917547751453 52.3688448774079,4.85916985499965 52.3688311388798,4.85916775331666 52.3688244944933,4.8591668413781 52.3688211405423,4.85916611561488 52.3688181676192,4.85916565890416 52.368816112176,4.85916496025204 52.3688125834528,4.85916438102169 52.3688091338175,4.85916383839878 52.3688051449499,4.85916321748315 52.3687982056727,4.85916290772026 52.3687919428935,4.85916427640924 52.3687841494772,4.85916585208183 52.3687768751941,4.85916742881066 52.3687706589046,4.85917024981739 52.3687611694872,4.85917327728249 52.3687524832034,4.85917449790555 52.3687492922485,4.85917508242938 52.3687473777315,4.85917557537682 52.3687455545621,4.85917613985955 52.3687433539236,4.85927226816166 52.3687493848083,4.85925972315603 52.3687497181025,4.85925562518224 52.3687502501454,4.85924923180683 52.3687515332742,4.85924432986026 52.3687529338554,4.85923177426545 52.368758727736,4.85922722649803 52.3687620382706,4.85922105623111 52.3687689095962,4.85921927355311 52.3687722046338,4.85921843342827 52.3687744317603,4.85921764398548 52.3687781327481,4.85921773143506 52.3687831103957,4.85921858802986 52.3687866188286,4.85921990408933 52.3687896869879,4.85922284310498 52.3687941237076,4.85922894278678 52.3687999019508,4.85923189972216 52.3688019298005,4.85923788854049 52.3688051422442,4.8592441180292 52.3688075750183,4.85925030461442 52.3688093013359,4.85925466273357 52.3688101714598,4.85926064822424 52.3688109507961,4.85926404530632 52.3688111917986,4.85927525605435 52.3688117510996,4.85927956935599 52.3688119662888,4.85928837522067 52.3688124056098)))"
"39","Lindengracht 63","SRID=4326;POINT(4.88596431808166 52.3802557135756)","1015KC","Capri","2021-08-01","2018-08-01","7305","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_7474_Lindengracht 63-1951820_1.DOCX.pdf","12-06-2020","12-06-2020","SRID=4326;MULTIPOLYGON(((4.88604908000669 52.3802930932086,4.88604303210702 52.3803067305478,4.88591508019911 52.3802878556275,4.88592035015593 52.3802735657144,4.88598654280336 52.3802827072487,4.88604908000669 52.3802930932086)))"
"40","Prinsengracht 422-H","SRID=4326;POINT(4.88226090750615 52.3662553491094)","1016JC","Ellis Gourmet Burger","2021-01-01","2018-01-01","12488","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_12947_Prinsengracht 422-H-1956650_1.DOCX.pdf","16-06-2020","16-06-2020","SRID=4326;MULTIPOLYGON(((4.88237679735253 52.3663432593332,4.88241341689588 52.3662844769856,4.88250944369539 52.3663068934098,4.88247282425987 52.366365675787,4.88237679735253 52.3663432593332),(4.88242682260253 52.366320586514,4.88241010729125 52.3663471964686,4.88245347806685 52.3663574052901,4.88247019335606 52.3663307953297,4.88242682260253 52.366320586514)),((4.88234906250941 52.366237120733,4.8823331664109 52.3662622656575,4.88231125884957 52.3662570759289,4.88232715495859 52.3662319310073,4.88234906250941 52.366237120733)))"
"41","Damrak 40","SRID=4326;POINT(4.89617683650038 52.3757956836055)","1012LK","Maoz Falafel","2025-01-01","2020-01-01","1886","Alcoholvrij","Verleend","Lunchroom","02:00","07:00","07:00","07:00","04:00","07:00","03:00","07:00","Verleend","https://terrasvergunningen.amsterdam.nl/ver_2019_Damrak 40-2037300_1.DOCX.pdf","09-07-2020","09-07-2020","SRID=4326;MULTIPOLYGON(((4.89627206410236 52.3757702047495,4.89623719430219 52.3757866826841,4.8962226525268 52.3757751564818,4.89620219294529 52.3757589396538,4.8962370627366 52.3757424617293,4.89627206410236 52.3757702047495)))"
