"id","adres","locatie","postcode","zaaknaam","einddatum","begindatum","zaaknummer","zaak_categorie","status_vergunning","zaak_specificatie","o_tijden_terras_vr_za_tot","o_tijden_terras_vr_za_van","o_tijden_terras_zo_do_tot","o_tijden_terras_zo_do_van","openingstijden_vr_za_tot","openingstijden_vr_za_van","openingstijden_zo_do_tot","openingstijden_zo_do_van","status_tijdelijk_terras","tijdelijk_terras_details","publ_besluit_tijdelijk_terras","toestemming_tijdelijk_terras","terrasgeometrie"
"2463","Utrechtsestraat 114","SRID=4326;POINT(4.8990046278531 52.3616878947621)","1017VT","Ku Kitchen & Bar","2024-02-01","2019-02-01","11455","Restaurant","Verleend","Restaurant","","","","","3:00","7:00","1:00","7:00","","","","",""
"2464","Wibauthof 1","SRID=4326;POINT(4.91042066489516 52.3596214277452)","1091DD","Café Fest","2022-05-01","2018-07-18","12908","Café","Verleend","Eetcafé","0:00","7:00","23:00","7:00","3:00","7:00","1:00","7:00","","","","",""
"2465","Heemstedestraat 17","SRID=4326;POINT(4.84802378307746 52.3514580598871)","1059CX","Pizza Dam Zuid 2","2023-07-01","2020-06-05","15988","Restaurant","Verleend","Restaurant","00:00","07:00","00:00","07:00","03:00","07:00","01:00","07:00","","","","",""
"2466","Thorbeckeplein 15","SRID=4326;POINT(4.89614804304944 52.3651183386992)","1017CS","Friends Thorbeckeplein BV","2020-12-01","2017-12-01","13386","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.8961079995969 52.3650179883061,4.89609376915657 52.3651215615439,4.89604885595333 52.3651192490535,4.8960630864975 52.3650156758212,4.8961079995969 52.3650179883061)))"
"2467","Gustav Mahlerlaan 294","SRID=4326;POINT(4.87078306684555 52.3368972690043)","1082ME","Mech make & take B.V.","2022-12-01","2019-10-15","15564","Fastfood","Verleend","Fastfood restaurant","02:00","7:00","01:00","7:00","3:00","7:00","1:00","7:00","","","","",""
"2468","Taksteeg 6-H","SRID=4326;POINT(4.89155039998462 52.3692694388952)","1012PB","Snackbar and Fastfood B.V.","2021-03-01","2018-03-01","14666","Fastfood","Verleend","Snackbar","2:00","7:00","1:00","7:00","4:00","7:00","3:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.89152097336347 52.3692452569749,4.89152064384875 52.3692376203824,4.89154559577324 52.369237216985,4.89154592529226 52.3692448535774,4.89152097336347 52.3692452569749)))"
"2469","Australiëhavenweg 112","SRID=4326;POINT(4.79568352665171 52.3996609289356)","1046BR","Bij Marjan","2021-11-16","2016-11-17","11062","Restaurant","Verleend","Restaurant","2:00","6:00","1:00","6:00","3:00","6:00","1:00","6:00","","","","",""
"2470","Naritaweg 48","SRID=4326;POINT(4.82794099261364 52.3881030464349)","1043BZ","Klimhal Amsterdam","2024-04-30","2019-04-30","4236","Additionele horeca","Aangevraagd","Sporthal","","","","","3:00","7:00","1:00","7:00","","","","",""
"2471","Postjesweg 89-H","SRID=4326;POINT(4.85425861219518 52.3641015758621)","1057DX","Snackpoint Break Even","2020-11-01","2015-11-01","483","Fastfood","Verleend","Snackbar","1:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","",""
"2472","Oudebrugsteeg 9","SRID=4326;POINT(4.89715097567828 52.3753503363519)","1012JN","Meet Berlage BV","2024-06-01","2019-06-01","13436","Zalenverhuur","Verleend","Zalenverhuur","","","","","4:00","7:00","4:00","7:00","","","","",""
"2473","Leidseplein 22-H","SRID=4326;POINT(4.88233924327881 52.3645300666863)","1017PT","Café 20-22","2020-10-01","2017-10-01","15235","Café","Verleend","Café","2:00","9:00","1:00","9:00","4:00","9:00","3:00","9:00","","","","","SRID=4326;MULTIPOLYGON(((4.88244895011125 52.3644734729562,4.88271861133496 52.3642615932214,4.88275883685974 52.3642811679512,4.88275883685973 52.3642811679512,4.88261567049628 52.3643936578403,4.8826089540898 52.3643989350938,4.88248655547577 52.3644951065488,4.882467716214 52.3644862027018,4.88246445566868 52.3644845812885,4.88246140216149 52.3644828794742,4.88245848085281 52.364481082953,4.88245314872047 52.364477226186,4.88245073808279 52.3644751734508,4.88244895011125 52.3644734729562)),((4.88239516428743 52.3644966611989,4.88240888450697 52.3645032571873,4.88240885008502 52.3645032839637,4.88244922979639 52.3645227371092,4.88243041021347 52.3645374073108,4.88233054420246 52.3644893967636,4.88234943042337 52.3644746746421,4.88236514399077 52.3644822289446,4.88237873944798 52.3644716341288,4.88240875641391 52.3644860689732,4.88239516428743 52.3644966611989)),((4.88244929642181 52.3645226851735,4.88240888450697 52.3645032571873,4.88242246894705 52.3644926899979,4.88246284865153 52.3645121431413,4.88244929642181 52.3645226851735)))"
"2474","Spaarndammerstraat 424","SRID=4326;POINT(4.88043747020557 52.3883839213442)","1013SZ","Freud","2021-06-01","2018-06-01","7597","Restaurant","Verleend","Restaurant","1:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","",""
"2475","Bartholomeus Diazstraat 15","SRID=4326;POINT(4.8541729821469 52.3700150297765)","1057SZ","Café Miracle","2022-08-01","2019-08-01","15365","Café","Verleend","Café","23:00","7:00","23:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.85426476639184 52.3700584847497,4.85425682634581 52.3700757899406,4.85418897316156 52.3700641258084,4.85419691323187 52.3700468206221,4.85426476639184 52.3700584847497)))"
"2476","Korte Leidsedwarsstraat 147","SRID=4326;POINT(4.88526381374393 52.3629696582423)","1017PZ","Coffeeshop The Rookies","2021-01-01","2018-01-01","8822","Coffeeshop","Verleend","Coffeeshop","1:00","7:00","1:00","7:00","1:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.88522174252821 52.3629632050707,4.88519022508394 52.3629463589694,4.88524815698587 52.3629057384858,4.88527967442339 52.3629225845716,4.88522174252821 52.3629632050707)))"
"2477","Mosveld 74","SRID=4326;POINT(4.9140241641736 52.3918840188375)","1032GG","Pizzeria ""San Remo""","2024-06-01","2019-06-01","8160","Restaurant","Verleend","Restaurant","2:00","7:00","1:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.91404487638334 52.3918565907294,4.91393790899982 52.3918977160622,4.91390976983975 52.3918703219366,4.9140167371832 52.3918291966288,4.91404487638334 52.3918565907294)))"
"2478","Utrechtsestraat 30A","SRID=4326;POINT(4.89793216825047 52.3644246848408)","1017VN","Pigs & Punch","2022-02-01","2019-02-01","11025","Restaurant","Verleend","Restaurant","","","","","3:00","7:00","1:00","7:00","","","","",""
"2479","Cruquiusweg 67A","SRID=4326;POINT(4.94819464472024 52.3689092173748)","1019AT","Harbour Amsterdam B.V","2022-02-01","2017-10-26","10382","Restaurant","Verleend","Restaurant","1:00","7:00","0:00","7:00","3:00","7:00","1:00","7:00","","","","","SRID=4326;MULTIPOLYGON(((4.94675433582516 52.3694289667709,4.94675609603831 52.3692692377932,4.94767327758847 52.3692774863768,4.94767294833366 52.3692929527088,4.94769237596454 52.3692928167306,4.94769251173922 52.3694060255577,4.94769213380406 52.3694442168567,4.94739368919288 52.3694414875394,4.94739394805728 52.3694361049648,4.94675433582516 52.3694289667709)))"
