"ID";"Geslacht";"Migratieachtergrond";"Postcode";"Perioden";"Bevolking_1"
"1979";"T001038";"T001040";"PC1117  ";"2019JJ00";""
"2001";"T001038";"T001040";"PC1118  ";"2019JJ00";"      45"
"2023";"T001038";"T001040";"PC1119  ";"2019JJ00";"      20"
"2045";"T001038";"T001040";"PC1121  ";"2019JJ00";"   10240"
"2067";"T001038";"T001040";"PC1127  ";"2019JJ00";"     825"
"2089";"T001038";"T001040";"PC1131  ";"2019JJ00";"    8955"
"2111";"T001038";"T001040";"PC1132  ";"2019JJ00";"   13425"
"2133";"T001038";"T001040";"PC1135  ";"2019JJ00";"    7205"
"2155";"T001038";"T001040";"PC1141  ";"2019JJ00";"    9570"
"2177";"T001038";"T001040";"PC1145  ";"2019JJ00";"     325"
"2199";"T001038";"T001040";"PC1151  ";"2019JJ00";"    2745"
"2221";"T001038";"T001040";"PC1153  ";"2019JJ00";"     315"
"2243";"T001038";"T001040";"PC1154  ";"2019JJ00";"     130"
"2265";"T001038";"T001040";"PC1156  ";"2019JJ00";"    1770"
"2287";"T001038";"T001040";"PC1161  ";"2019JJ00";"    7800"
"2309";"T001038";"T001040";"PC1165  ";"2019JJ00";"    2560"
"2331";"T001038";"T001040";"PC1171  ";"2019JJ00";"   12650"
"2353";"T001038";"T001040";"PC1175  ";"2019JJ00";"     830"
"2375";"T001038";"T001040";"PC1181  ";"2019JJ00";"   20495"
"2397";"T001038";"T001040";"PC1182  ";"2019JJ00";"    3840"
"2419";"T001038";"T001040";"PC1183  ";"2019JJ00";"   13730"
"2441";"T001038";"T001040";"PC1184  ";"2019JJ00";"     630"
"2463";"T001038";"T001040";"PC1185  ";"2019JJ00";"   11600"
"2485";"T001038";"T001040";"PC1186  ";"2019JJ00";"   14145"
"2507";"T001038";"T001040";"PC1187  ";"2019JJ00";"   18520"
"2529";"T001038";"T001040";"PC1188  ";"2019JJ00";"    7380"
"2551";"T001038";"T001040";"PC1189  ";"2019JJ00";"     500"
"2573";"T001038";"T001040";"PC1191  ";"2019JJ00";"    8915"
"2595";"T001038";"T001040";"PC1211  ";"2019JJ00";"    9720"
"2617";"T001038";"T001040";"PC1212  ";"2019JJ00";"    3660"
"2639";"T001038";"T001040";"PC1213  ";"2019JJ00";"    6765"
"2661";"T001038";"T001040";"PC1214  ";"2019JJ00";"    7625"
"2683";"T001038";"T001040";"PC1215  ";"2019JJ00";"   10110"
"2705";"T001038";"T001040";"PC1216  ";"2019JJ00";"    8900"
"2727";"T001038";"T001040";"PC1217  ";"2019JJ00";"    7655"
"2749";"T001038";"T001040";"PC1218  ";"2019JJ00";"    4165"
"2771";"T001038";"T001040";"PC1221  ";"2019JJ00";"    8940"
"2793";"T001038";"T001040";"PC1222  ";"2019JJ00";"   11030"
"2815";"T001038";"T001040";"PC1223  ";"2019JJ00";"   11670"
"2837";"T001038";"T001040";"PC1231  ";"2019JJ00";"    8790"
"2859";"T001038";"T001040";"PC1241  ";"2019JJ00";"    6735"
